,station_id,short_name,lat,lon,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_updated,temp_c,wind_kph,humidity,clouds
142,148,220,19.432655,-99.205727,27,2,0,25,0,2024-08-24 15:44:26,24.75,6.17,41,40
143,149,204,19.435882,-99.19152,27,2,0,25,0,2024-08-24 15:44:26,24.84,6.17,41,40
144,150,199,19.437934,-99.197241,23,6,0,17,0,2024-08-24 15:44:26,24.83,6.17,41,40
145,151,247,19.432276,-99.18064,27,2,0,25,0,2024-08-24 15:44:26,24.9,6.17,41,40
146,152,158-159,19.407517,-99.155373,74,28,1,45,0,2024-08-24 15:44:26,24.97,6.17,41,40
147,153,207,19.434861,-99.183322,23,21,0,2,0,2024-08-24 15:44:26,24.9,6.17,41,40
148,154,222,19.431417,-99.195774,27,13,0,14,0,2024-08-24 15:44:26,24.73,6.17,41,40
149,155,216,19.433419,-99.195746,27,0,0,27,0,2024-08-24 15:44:26,24.73,6.17,41,40
150,156,212,19.433863944714325,-99.18809428821986,35,17,0,18,0,2024-08-24 15:44:26,24.82,6.17,41,40
151,157,140,19.416596,-99.156879,19,12,0,7,0,2024-08-24 15:44:26,24.95,6.17,41,40
152,158,229,19.430515,-99.203331,23,2,0,21,0,2024-08-24 15:44:26,24.73,6.17,41,40
153,159,231,19.429711892530808,-99.19357940565533,27,14,1,12,0,2024-08-24 15:44:26,24.82,6.17,41,40
154,160,460,19.43716476942747,-99.20793056498951,35,1,0,34,0,2024-08-24 15:44:26,24.68,6.17,41,40
155,161,214,19.434353,-99.20322,27,6,0,21,0,2024-08-24 15:44:26,24.73,6.17,41,40
156,162,218,19.432451,-99.188033,23,10,0,13,0,2024-08-24 15:44:26,24.82,6.17,41,40
157,163,243,19.441123,-99.195857,23,4,0,19,0,2024-08-24 15:44:26,24.83,6.17,41,40
158,164,192-193,19.425907,-99.190733,49,44,0,5,0,2024-08-24 15:44:26,24.82,6.17,41,40
159,165,464,19.442421,-99.199838,19,18,0,1,0,2024-08-24 15:44:26,24.83,6.17,41,40
160,166,195,19.424858,-99.185181,31,22,1,8,0,2024-08-24 15:44:26,24.77,6.17,41,40
161,167,120,19.425437,-99.159458,15,14,1,0,0,2024-08-24 15:44:26,24.95,6.17,41,40
162,168,143,19.414303,-99.157542,23,1,0,22,0,2024-08-24 15:44:26,24.97,6.17,41,40
163,169,150,19.409894,-99.164288,31,20,0,11,0,2024-08-24 15:44:26,24.97,6.17,41,40
164,170,161,19.405533,-99.164913,23,0,0,23,0,2024-08-24 15:44:26,24.97,6.17,41,40
165,171,031,19.427922277979096,-99.16124593467885,37,26,1,10,0,2024-08-24 15:44:26,24.95,6.17,41,40
166,172,280,19.4015,-99.156406,39,32,2,5,0,2024-08-24 15:44:26,24.97,6.17,41,40
167,173,032,19.42268552552878,-99.16998323054486,35,6,0,29,0,2024-08-24 15:44:26,24.9,6.17,41,40
168,174,118,19.427114,-99.158251,19,2,0,17,0,2024-08-24 15:44:26,24.95,6.17,41,40
169,175,134,19.418293491655607,-99.15993556380272,31,30,1,0,0,2024-08-24 15:44:26,24.95,6.17,41,40
170,176,033,19.424187,-99.166497,17,5,0,12,0,2024-08-24 15:44:26,24.9,6.17,41,40
171,177,165,19.404268,-99.160503,23,4,1,18,0,2024-08-24 15:44:26,24.97,6.17,41,40
172,178,179,19.404435569698265,-99.17138099675866,27,0,0,27,0,2024-08-24 15:44:26,24.87,6.17,41,40
173,179,293,19.397373,-99.164598,23,6,0,17,0,2024-08-24 15:44:26,24.97,6.17,41,40
174,180,037,19.42041712015948,-99.17271204298231,35,20,2,13,0,2024-08-24 15:44:26,24.9,6.17,41,40
175,181,156,19.406959,-99.163021,19,0,0,19,0,2024-08-24 15:44:26,24.97,6.17,41,40
176,182,285,19.399763,-99.177538,19,3,0,16,0,2024-08-24 15:44:26,24.84,6.17,41,40
177,183,131,19.419579,-99.161314,19,17,1,1,0,2024-08-24 15:44:26,24.95,6.17,41,40
178,184,030,19.426099760030304,-99.16493654251099,36,23,1,12,0,2024-08-24 15:44:26,24.95,6.17,41,40
179,185,057,19.414968,-99.174766,11,1,1,9,0,2024-08-24 15:44:26,24.93,6.17,41,40
180,186,058,19.415358,-99.171902,27,7,0,20,0,2024-08-24 15:44:26,24.9,6.17,41,40
181,187,175,19.400599004903363,-99.17245991533491,23,2,0,21,0,2024-08-24 15:44:26,24.87,6.17,41,40
182,188,148,19.412829,-99.155116,21,4,0,17,0,2024-08-24 15:44:26,24.97,6.17,41,40
183,189,177,19.408841,-99.181692,19,0,0,19,0,2024-08-24 15:44:26,24.9,6.17,41,40
184,190,166,19.406069,-99.183549,23,2,1,20,0,2024-08-24 15:44:26,24.9,6.17,41,40
185,191,241,19.43869310388943,-99.20757338410112,19,1,0,18,0,2024-08-24 15:44:26,24.68,6.17,41,40
186,192,173,19.401682,-99.176398,23,3,0,20,0,2024-08-24 15:44:26,24.84,6.17,41,40
187,193,126,19.422288,-99.162138,34,32,1,1,0,2024-08-24 15:44:26,24.95,6.17,41,40
188,194,127,19.423318,-99.15833,27,16,2,9,0,2024-08-24 15:44:26,24.95,6.17,41,40
189,195,180,19.404554,-99.169953,27,0,0,27,0,2024-08-24 15:44:26,24.87,6.17,41,40
190,196,467,19.440399,-99.186784,27,0,1,26,0,2024-08-24 15:44:26,24.84,6.17,41,40
191,197,167,19.404608864422567,-99.1794095188925,23,6,1,16,0,2024-08-24 15:44:26,24.84,6.17,41,40
192,198,196,19.438349,-99.192904,27,0,0,27,0,2024-08-24 15:44:26,24.84,6.17,41,40
193,199,152,19.409098,-99.167181,35,6,0,29,0,2024-08-24 15:44:26,24.93,6.17,41,40
194,200,200,19.437596,-99.188785,27,4,0,23,0,2024-08-24 15:44:26,24.84,6.17,41,40
195,201,461,19.440106,-99.210031,31,7,0,24,0,2024-08-24 15:44:26,24.68,6.17,41,40
196,202,454,19.425905,-99.204236,15,7,0,8,0,2024-08-24 15:44:26,24.73,6.17,41,40
197,203,466,19.44269,-99.19083,27,15,1,11,0,2024-08-24 15:44:26,24.84,6.17,41,40
198,204,213,19.434366028509015,-99.206306487431,27,5,0,22,0,2024-08-24 15:44:26,24.75,6.17,41,40
199,205,157,19.406236,-99.166616,30,1,0,29,0,2024-08-24 15:44:26,24.93,6.17,41,40
200,206,456,19.427517,-99.208412,27,2,0,25,0,2024-08-24 15:44:26,24.75,6.17,41,40
201,207,459,19.429323620268587,-99.2071587592636,31,5,0,26,0,2024-08-24 15:44:26,24.75,6.17,41,40
202,208,457,19.42703,-99.212845,17,1,0,16,0,2024-08-24 15:44:26,24.75,6.17,41,40
203,209,283,19.397923,-99.167248,19,0,0,19,0,2024-08-24 15:44:26,24.87,6.17,41,40
204,210,294,19.39644167553825,-99.16090227668974,21,2,0,19,0,2024-08-24 15:44:26,24.97,6.17,41,40
205,211,278,19.40071,-99.163831,19,7,0,12,0,2024-08-24 15:44:26,24.97,6.17,41,40
206,212,282,19.398719270170474,-99.16128046816084,19,0,0,19,0,2024-08-24 15:44:26,24.97,6.17,41,40
